house_num,id,family,gendar,age,household,married,ethnicity,elementary,junior,high,university,monestary,health,cold,chronic,together,hours
315,2,1,1,45,1,1,2,5,0,0,0,0,1,0,0,16,16
315,3,3,0,28,0,0,2,5,2,0,0,0,4,0,0,10,10
315,4,4,1,19,0,0,2,5,4,2,1,0,1,0,0,0,0
315,5,3,0,14,0,0,2,5,0,0,0,0,1,0,0,10,10
334,1,7,1,67,0,1,2,0,0,0,0,0,2,2,0,1,6
334,2,7,0,64,1,1,2,0,0,0,0,10,2,2,0,1,6
334,3,1,0,30,0,1,2,5,4,2,0,0,2,2,0,1,6
334,4,2,1,28,0,0,2,5,2,0,0,0,2,2,0,1,6
334,5,4,0,5,0,0,2,0,0,0,0,0,2,2,0,999,0
366,1,1,0,60,1,1,2,5,3,0,0,0,2,3,0,1,6
366,2,2,1,62,0,1,2,3,0,0,0,0,2,3,1,1,6
367,1,8,1,54,1,1,2,2,0,0,0,0,4,1,0,1,10
367,2,6,0,22,0,0,2,5,6,0,0,0,4,1,0,1,10
367,3,2,1,24,0,1,2,5,6,0,0,0,4,1,0,1,10
367,4,1,0,25,0,1,2,5,2,0,0,0,4,1,0,1,10
367,5,4,0,5,0,0,2,1,0,0,0,0,4,1,0,0,0
368,1,1,0,46,1,1,2,0,0,0,0,3,2,3,0,1,7
368,2,2,1,56,0,1,2,0,0,0,0,1,2,3,1,1,7
368,3,4,0,27,0,0,2,5,2,0,0,0,2,3,0,0,0
368,4,3,1,18,0,0,2,4,0,0,0,0,2,3,0,0,0
368,5,3,1,14,0,0,2,4,0,0,0,0,2,3,0,0,0
384,1,7,0,67,1,1,2,0,0,0,0,15,2,0,0,8,0
384,2,7,1,66,0,1,2,0,0,0,0,5,1,0,0,8,0
384,3,6,0,20,0,0,2,5,3,0,0,0,1,0,0,8,8
384,4,5,1,25,0,0,2,5,0,0,0,0,1,0,0,8,8
384,5,3,1,10,0,0,2,5,0,0,0,0,1,0,0,8,0
385,1,1,0,62,1,1,2,5,0,0,0,0,2,0,0,0,0
385,2,2,1,63,0,1,2,0,0,0,0,3,2,0,0,0,0
385,3,4,0,20,0,0,2,5,4,0,0,0,2,0,0,1,8
385,4,4,0,24,0,0,2,5,4,2,0,0,2,0,0,1,8
385,5,4,0,27,0,0,2,5,3,0,0,0,2,0,0,1,8
385,6,3,1,32,0,0,2,5,0,0,0,0,2,0,0,1,8
391,1,8,0,25,0,1,2,5,4,0,0,1,2,7,0,1,9.5
391,2,1,0,44,1,1,2,5,0,0,0,10,2,4,0,1,9.5
391,3,2,1,44,0,1,2,0,0,0,0,5,2,3,0,1,9.5
391,4,3,1,23,0,1,2,5,4,1,0,0,2,3,0,1,9.5
396,1,2,1,42,0,1,2,2,0,0,0,0,2,3,0,1,7.5
396,2,1,0,37,1,1,2,0,0,0,0,0,5,3,0,1,7.5
396,3,4,0,18,0,1,2,4,0,0,0,0,2,5,0,1,7.5
396,4,4,0,11,0,0,2,5,0,0,0,0,2,2,0,999,0
396,5,3,1,6,0,0,2,2,0,0,0,0,2,2,0,999,0
397,1,1,0,53,1,1,2,5,0,0,0,0,2,4,0,1,9
397,2,2,1,50,0,1,2,0,0,0,0,5,2,10,1,1,9
397,3,4,0,22,0,1,2,5,4,0,0,0,2,5,0,1,9
397,4,4,0,18,0,0,2,5,3,0,0,0,2,5,0,1,9
397,5,3,1,11,0,0,2,5,0,0,0,0,2,5,0,999,999
398,1,2,1,35,0,1,2,3,0,0,0,0,2,3,0,1,9
398,2,1,0,39,1,1,2,3,0,0,0,0,2,5,0,1,9
398,3,3,1,15,0,0,2,5,0,0,0,0,2,5,0,0,9
398,4,3,1,11,0,0,2,4,0,0,0,0,2,5,0,0,0
399,1,2,1,28,0,1,2,3,0,0,0,0,2,2,0,1,9
399,2,1,0,31,1,1,2,5,0,0,0,0,2,3,0,1,9
399,3,3,1,8,0,0,2,2,0,0,0,0,2,5,0,999,999
399,4,3,1,6,0,0,2,1,0,0,0,0,2,5,0,999,999
428,1,2,1,38,0,1,2,5,3,0,0,0,2,2,0,1,8
428,2,1,0,43,1,1,2,5,3,0,0,0,2,2,0,1,8
428,3,3,1,6,0,0,2,1,0,0,0,0,2,2,0,0,0
429,1,2,1,35,0,1,2,4,0,0,0,0,2,0,0,0,8
429,2,1,0,41,1,1,2,4,0,0,0,0,2,0,0,0,8
429,3,3,1,9,0,0,2,3,0,0,0,0,2,3,0,0,0
429,4,3,1,3,0,0,2,0,0,0,0,0,2,3,0,0,0
429,5,4,0,1,0,0,2,0,0,0,0,0,2,3,0,0,0
430,1,2,1,46,0,0,2,5,4,2,0,0,2,2,0,0,1
430,2,7,1,80,1,0,2,0,0,0,0,3,2,3,1,0,1
430,3,8,1,19,0,0,2,5,3,2,4,0,2,2,0,0,0
